k,silhouette_score
2.0,0.213219480988304
3.0,0.23295918228054466
4.0,0.21624241549307371
5.0,0.18802173995727178
6.0,0.21083496114299138
7.0,0.19755224827205217
8.0,0.18982095647031744
9.0,0.17752834135804454
10.0,0.18613303289456512
11.0,0.17076327115766288
12.0,0.18441265060171502
13.0,0.1547953276159321
14.0,0.16760121152326465
15.0,0.17401773119002353
